"File","SLOC","Comments","Ratio_code_comment","McCabe","NumFiles","Ownership_Lines","Minor_Lines","Major_lines","LineAuthors","Commits","LineAdded","LineDeleted","CommitAuthors","Ownership_Commits","Minor_Commits","Major_Commits","HasBug","BugCount"
"contrib/src/test/org/apache/hadoop/hive/contrib/mr",87,18,0.21,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"contrib/src/test/org/apache/hadoop/hive/contrib/serde2",51,26,0.51,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64",191,70,0.375,6.5,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/udaf/example",85,128,1.51,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/mr",151,127,5.1225,1.25,4,1,0,1,1,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/mr/example",32,41,1.3,0.5,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/genericudf/example",110,42,0.38,9,1,1,0,1,1,1,14,0,1,1,0,1,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/serde2",431,107,0.295,12,2,0.588524590163934,0,2,2,2,41,44,1,1,0,1,1,1
"contrib/src/java/org/apache/hadoop/hive/contrib/serde2/s3",143,43,0.215,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/udf/example",81,85,1.228,2.4,5,1,0,1,1,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/util/typedbytes",1355,571,0.548,19,10,0.951531778692273,1,1,2,3,116,46,2,0.666666666666667,0,2,1,1
"contrib/src/java/org/apache/hadoop/hive/contrib/udtf/example",55,17,0.31,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"hwi/src/test/org/apache/hadoop/hive/hwi",205,32,0.12,7.5,2,0.534965034965035,0,2,2,3,89,30,1,1,0,1,0,0
"hwi/src/java/org/apache/hadoop/hive/hwi",626,303,0.438333333333333,11.5,6,0.545195052331113,1,2,3,2,460,367,1,1,0,1,0,0
"ant/src/org/apache/hadoop/hive/ant",275,60,0.52,13.5,2,0.498800959232614,2,3,5,1,80,56,1,1,0,1,0,0
"jdbc/src/test/org/apache/hadoop/hive/jdbc",262,47,0.18,8,1,0.575342465753425,0,3,3,2,183,58,2,0.5,0,2,1,1
"jdbc/src/java/org/apache/hadoop/hive/jdbc",3150,3418,1.11,6.3,10,0.929054870679236,2,1,3,4,383,112,3,0.5,0,3,1,4
"shims/src/0.20/java/org/apache/hadoop/hive/shims",241,74,0.43,5.5,2,0.466666666666667,1,3,4,7,284,36,4,0.428571428571429,0,4,0,0
"shims/src/0.19/java/org/apache/hadoop/hive/shims",97,50,0.555,0.5,2,0.841176470588235,1,2,3,4,44,2,3,0.5,0,3,0,0
"shims/src/0.18/java/org/apache/hadoop/hive/shims",97,50,0.555,0.5,2,0.846153846153846,1,2,3,4,44,3,3,0.5,0,3,0,0
"shims/src/0.17/java/org/apache/hadoop/hive/shims",92,49,0.565,0.5,2,0.876543209876543,1,2,3,4,35,0,3,0.5,0,3,0,0
"shims/src/common/java/org/apache/hadoop/hive/shims",127,137,1.32333333333333,1,3,0.770491803278688,0,3,3,6,88,7,3,0.5,0,3,0,0
"odbc/src/test",1074,167,0.16,21,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"odbc/src/cpp",1466,1222,1.79307692307692,5.46153846153846,13,0.999668325041459,1,1,2,1,1,0,1,1,0,1,0,0
"serde/src/test/org/apache/hadoop/hive/serde2",312,45,0.14,0,1,0.844398340248963,1,2,3,0,0,0,0,0,0,0,0,0
"serde/src/test/org/apache/hadoop/hive/serde2/lazybinary",389,116,0.486666666666667,8.33333333333333,3,1,0,1,1,0,0,0,0,0,0,0,0,0
"serde/src/test/org/apache/hadoop/hive/serde2/binarysortable",175,53,0.766666666666667,4.33333333333333,3,0.784905660377359,1,2,3,0,0,0,0,0,0,0,0,0
"serde/src/test/org/apache/hadoop/hive/serde2/objectinspector",637,161,0.5,2.28571428571429,7,0.651447661469933,1,2,3,1,33,0,1,1,0,1,0,0
"serde/src/test/org/apache/hadoop/hive/serde2/thrift_test",86,22,0.26,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0
