"File","SLOC","Comments","Ratio_code_comment","McCabe","NumFiles","Ownership_Lines","Minor_Lines","Major_lines","LineAuthors","Commits","LineAdded","LineDeleted","CommitAuthors","Ownership_Commits","Minor_Commits","Major_Commits","HasBug","BugCount"
"contrib/src/test/org/apache/hadoop/hive/contrib/mr",91,22,0.24,4,1,0.642335766423358,0,2,2,0,0,0,0,0,0,0,0,0
"contrib/src/test/org/apache/hadoop/hive/contrib/serde2",53,30,0.57,0,1,0.683673469387755,0,2,2,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64",206,86,0.425,6.5,2,0.718100890207715,1,3,4,1,5,5,1,1,0,1,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/udaf/example",627,281,1.19,8.71428571428571,7,0.329279700654818,2,5,7,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/mr",156,130,5.17,1.25,4,0.850467289719626,0,2,2,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/mr/example",37,43,1.18,0.5,2,0.802197802197802,0,2,2,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/genericudf/example",117,43,0.37,9,1,0.568181818181818,0,2,2,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/serde2",471,113,0.285,13,2,0.690076335877863,2,2,4,2,21,9,2,0.5,0,2,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/serde2/s3",154,74,0.785,4,2,0.591439688715953,2,3,5,3,25,1,3,0.333333333333333,0,3,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/udf",19,21,1.11,0,1,0.978260869565217,1,1,2,1,1,1,1,1,0,1,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/udf/example",85,105,1.476,2.4,5,0.814814814814815,0,2,2,0,0,0,0,0,0,0,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/metastore/hooks",19,21,1.11,2,1,0.625,0,2,2,1,18,0,1,1,0,1,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/util/typedbytes",1389,644,0.676,19.2,10,0.941150828247602,5,1,6,3,40,25,3,0.333333333333333,0,3,0,0
"contrib/src/java/org/apache/hadoop/hive/contrib/udtf/example",84,43,0.545,1.5,2,0.423841059602649,0,3,3,0,0,0,0,0,0,0,0,0
"hwi/src/test/org/apache/hadoop/hive/hwi",212,57,0.385,7.5,2,0.684375,2,3,5,1,17,0,1,1,0,1,0,0
"hwi/src/java/org/apache/hadoop/hive/hwi",659,412,0.886666666666667,11.5,6,0.628333333333333,3,4,7,4,110,18,4,0.25,0,4,0,0
"ant/src/org/apache/hadoop/hive/ant",316,61,0.515,17,2,0.442553191489362,4,3,7,1,18,0,1,1,0,1,0,0
"jdbc/src/test/org/apache/hadoop/hive/jdbc",788,79,0.1,33,1,0.374876360039565,3,6,9,10,431,125,5,0.5,0,5,1,1
"jdbc/src/java/org/apache/hadoop/hive/jdbc",3704,2985,0.786666666666667,13.6,15,0.502223869532987,5,3,8,12,442,313,5,0.583333333333333,0,5,1,2
"shims/src/0.20/java/org/apache/hadoop/hive/shims",419,121,0.606666666666667,7,3,0.518282988871224,4,4,8,5,83,38,4,0.4,0,4,0,0
"shims/src/0.20/java/org/apache/hadoop/fs",208,55,0.62,0.5,2,1,0,1,1,0,0,0,0,0,0,0,1,1
"shims/src/test/org/apache/hadoop/hive/thrift",215,46,0.21,4,1,0.529209621993127,0,2,2,2,156,60,1,1,0,1,1,1
"shims/src/0.20S/java/org/apache/hadoop/hive/thrift",575,187,1.3075,13,4,0.664684898929845,1,3,4,2,75,19,2,0.5,0,2,0,0
"shims/src/0.20S/java/org/apache/hadoop/hive/shims",395,89,0.395,9,2,0.821869488536155,3,2,5,5,83,33,4,0.4,0,4,0,0
"shims/src/common/java/org/apache/hadoop/hive/thrift",35,35,1,0,1,0.705128205128205,0,3,3,1,4,2,1,1,0,1,0,0
"shims/src/common/java/org/apache/hadoop/hive/shims",185,222,1.3525,1.5,4,0.494824016563147,4,3,7,2,12,1,2,0.5,0,2,1,1
"shims/src/common/java/org/apache/hadoop/hive/io",134,139,1.5875,3.25,4,1,0,1,1,0,0,0,0,0,0,0,0,0
"odbc/src/test",1074,167,0.16,21,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"odbc/src/cpp",1468,1222,1.79230769230769,5.46153846153846,13,0.999005634736493,2,1,3,0,0,0,0,0,0,0,0,0
"serde/src/test/org/apache/hadoop/hive/serde2",547,109,0.283333333333333,2,3,0.449397590361446,1,4,5,1,34,0,1,1,0,1,0,0
