File,SLOC,Comments,Ratio_code_comment,McCabe,NumFiles,Ownership_Lines,Minor_Lines,Major_lines,LineAuthors,Commits,LineAdded,LineDeleted,CommitAuthors,Ownership_Commits,Minor_Commits,Major_Commits,Ownership_Churn,Minor_Churn,Major_Churn,HasBug,BugCount
activemq-jdbc-store/src/main/java/org/apache/activemq/store/jdbc,2948,521,0.9585714285714287,13.642857142857142,14,0.42006972111553786,4,5,9,3.0,6.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0
activemq-jdbc-store/src/main/java/org/apache/activemq/store/jdbc/adapter,1450,513,1.4905882352941178,8.294117647058824,17,0.34205607476635513,1,5,6,1.0,6.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
activemq-jdbc-store/src/main/java/org/apache/activemq/store/journal,1412,321,0.242,23.2,5,0.4942528735632184,5,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
activemq-jdbc-store/src/main/java/org/apache/activemq/util,53,21,0.4,8.0,1,0.9642857142857143,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activemq-leveldb-store/src/test/scala/org/apache/activemq/leveldb,23,19,0.83,0.0,1,1.0,0,1,1,2.0,2.0,2.0,2.0,0.5,0.0,2.0,0.8947368421052632,0.0,2.0,0.0,0.0
activemq-leveldb-store/src/main/scala/org/apache/activemq/leveldb,17,19,1.12,0.0,1,0.5116279069767442,0,2,2,10.0,239.0,79.0,4.0,0.6,0.0,4.0,0.9786392405063291,3.0,1.0,1.0,21.0
activemq-leveldb-store/src/main/java/org/apache/activemq/store/leveldb,4,23,5.75,0.0,1,0.9666666666666667,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activemq-leveldb-store/src/main/java/org/apache/activemq/leveldb,63,22,0.35,0.0,1,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v4,3710,3802,1.4125396825396825,2.4126984126984126,63,0.992156008279769,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v3,3861,3728,1.3166666666666667,2.3174603174603177,63,0.9363784665579119,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v7,3750,3802,1.4036507936507936,2.4126984126984126,63,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v6,3745,3802,1.4046031746031746,2.4126984126984126,63,0.9911004992402865,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v2,3680,3606,1.328360655737705,2.2950819672131146,61,0.95597555454957,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v5,3715,3802,1.4098412698412697,2.4126984126984126,63,0.9921602787456446,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activemq-fileserver/src/test/java/org/apache/activemq/util,177,55,0.3633333333333333,1.0,3,0.684981684981685,1,4,5,1.0,20.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
activemq-fileserver/src/main/java/org/apache/activemq/util,291,104,0.33666666666666667,15.666666666666666,3,0.5413043478260869,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activemq-openwire-generator/src/main/java/org/apache/activemq/openwire/tool,3641,405,0.1716666666666667,41.5,18,0.9901380670611439,2,1,3,1.0,35.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
activemq-karaf/src/main/java/org/apache/activemq/karaf/commands,184,43,0.26,11.0,2,1.0,0,1,1,2.0,5.0,229.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
activemq-broker/src/test/java/org/apache/activemq,659,275,0.48666666666666664,9.666666666666666,3,0.4425182481751825,4,4,8,12.0,305.0,75.0,5.0,0.4166666666666667,0.0,5.0,0.2900326797385621,0.0,5.0,0.0,0.0
activemq-broker/src/test/java/org/apache/activemq/test,214,243,1.1400000000000001,7.5,2,0.49902912621359224,4,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activemq-broker/src/test/java/org/apache/activemq/store,616,47,0.18,31.0,2,0.9806201550387597,2,1,3,3.0,40.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
activemq-broker/src/test/java/org/apache/activemq/util,323,51,0.395,9.0,2,0.9932735426008968,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activemq-broker/src/main/java/org/apache/activemq/plugin,560,283,1.1212499999999999,4.75,8,0.8959660297239915,2,2,4,1.0,9.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
