i,j,technique,SelectedFeature,CorFeatures,Label,Ranking,Importance
activemq-5.0.0,activemq-5.1.0,RF,AvgCyclomaticModified,MaxCyclomaticStrict,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.0587135537858072
activemq-5.0.0,activemq-5.1.0,RF,AvgCyclomaticModified,MaxNesting_Max,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.0587135537858072
activemq-5.0.0,activemq-5.1.0,RF,AvgCyclomaticModified,AvgCyclomaticStrict,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.0587135537858072
activemq-5.0.0,activemq-5.1.0,RF,AvgCyclomaticModified,AvgCyclomaticModified,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.0587135537858072
activemq-5.0.0,activemq-5.1.0,RF,AvgCyclomaticModified,AvgCyclomatic,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.0587135537858072
activemq-5.0.0,activemq-5.1.0,RF,CountDeclClass,CountDeclClass,CountDeclClass,24,0.5160734625320559
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodProtected,CountDeclMethodProtected,CountDeclMethodProtected,15,1.6374911311629925
activemq-5.0.0,activemq-5.1.0,RF,CountDeclInstanceVariable,CountDeclInstanceVariable,CountDeclInstanceVariable,9,3.1509589714375315
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,CountDeclInstanceMethod,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,SumEssential,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,CountDeclMethod,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,CountDeclFunction,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,CountSemicolon,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,CountStmt,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,CountLineCode,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,CountStmtDecl,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,CountLineCodeDecl,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,SumCyclomatic,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,SumCyclomaticModified,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,SumCyclomaticStrict,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,CountLineBlank,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,CountLine,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,CountDeclMethodPublic,CountDeclMethodPublic,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",6,4.851985947227357
activemq-5.0.0,activemq-5.1.0,RF,RatioCommentToCode,RatioCommentToCode,"RatioCommentToCode
CountStmtExe
CountLineCodeExe",3,8.18093175246267
activemq-5.0.0,activemq-5.1.0,RF,RatioCommentToCode,CountStmtExe,"RatioCommentToCode
CountStmtExe
CountLineCodeExe",3,8.18093175246267
activemq-5.0.0,activemq-5.1.0,RF,RatioCommentToCode,CountLineCodeExe,"RatioCommentToCode
CountStmtExe
CountLineCodeExe",3,8.18093175246267
activemq-5.0.0,activemq-5.1.0,RF,AvgLineBlank,AvgLineBlank,AvgLineBlank,20,1.0443958287087594
activemq-5.0.0,activemq-5.1.0,RF,PercentLackOfCohesion,PercentLackOfCohesion,PercentLackOfCohesion,8,3.1734188427847183
activemq-5.0.0,activemq-5.1.0,RF,MaxInheritanceTree,MaxInheritanceTree,MaxInheritanceTree,11,2.8517110407175834
activemq-5.0.0,activemq-5.1.0,RF,CountClassDerived,CountClassDerived,CountClassDerived,17,1.0959314570452503
activemq-5.0.0,activemq-5.1.0,RF,CountClassCoupled,CountClassCoupled,CountClassCoupled,4,6.233341838429018
activemq-5.0.0,activemq-5.1.0,RF,CountClassBase,CountClassBase,CountClassBase,14,1.6910268137335018
activemq-5.0.0,activemq-5.1.0,RF,CountInput_Mean,CountInput_Mean,"CountInput_Mean
CountInput_Max",7,4.231111266266414
activemq-5.0.0,activemq-5.1.0,RF,CountInput_Mean,CountInput_Max,"CountInput_Mean
CountInput_Max",7,4.231111266266414
activemq-5.0.0,activemq-5.1.0,RF,CountInput_Min,CountInput_Min,CountInput_Min,13,1.846123230797514
activemq-5.0.0,activemq-5.1.0,RF,CountOutput_Min,CountOutput_Min,CountOutput_Min,12,2.4553815834862887
activemq-5.0.0,activemq-5.1.0,RF,MaxNesting_Min,MaxNesting_Min,"MaxNesting_Min
CountPath_Min",26,0.19738845622961548
activemq-5.0.0,activemq-5.1.0,RF,MaxNesting_Min,CountPath_Min,"MaxNesting_Min
CountPath_Min",26,0.19738845622961548
activemq-5.1.0,activemq-5.2.0,RF,OWN_LINE,MINOR_LINE,"MINOR_LINE
OWN_LINE",4,7.469341601494975
activemq-5.1.0,activemq-5.2.0,RF,OWN_LINE,OWN_LINE,"MINOR_LINE
OWN_LINE",4,7.469341601494975
activemq-5.1.0,activemq-5.2.0,RF,OWN_COMMIT,MAJOR_COMMIT,"MAJOR_COMMIT
DDEV
ADEV
COMM
OWN_COMMIT
Added_lines
Del_lines",1,22.836507051214696
activemq-5.1.0,activemq-5.2.0,RF,OWN_COMMIT,DDEV,"MAJOR_COMMIT
DDEV
ADEV
COMM
OWN_COMMIT
Added_lines
Del_lines",1,22.836507051214696
activemq-5.1.0,activemq-5.2.0,RF,OWN_COMMIT,ADEV,"MAJOR_COMMIT
DDEV
ADEV
COMM
OWN_COMMIT
Added_lines
Del_lines",1,22.836507051214696
activemq-5.1.0,activemq-5.2.0,RF,OWN_COMMIT,COMM,"MAJOR_COMMIT
DDEV
ADEV
COMM
OWN_COMMIT
Added_lines
Del_lines",1,22.836507051214696
activemq-5.1.0,activemq-5.2.0,RF,OWN_COMMIT,OWN_COMMIT,"MAJOR_COMMIT
DDEV
ADEV
COMM
OWN_COMMIT
Added_lines
Del_lines",1,22.836507051214696
activemq-5.1.0,activemq-5.2.0,RF,OWN_COMMIT,Added_lines,"MAJOR_COMMIT
DDEV
ADEV
COMM
OWN_COMMIT
Added_lines
Del_lines",1,22.836507051214696
activemq-5.1.0,activemq-5.2.0,RF,OWN_COMMIT,Del_lines,"MAJOR_COMMIT
DDEV
ADEV
COMM
OWN_COMMIT
Added_lines
Del_lines",1,22.836507051214696
activemq-5.1.0,activemq-5.2.0,RF,MAJOR_LINE,MAJOR_LINE,MAJOR_LINE,17,1.5058714460537332
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPrivate,CountDeclMethodPrivate,CountDeclMethodPrivate,21,0.8786884500361778
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodDefault,CountDeclMethodDefault,CountDeclMethodDefault,23,0.776811591079241
activemq-5.1.0,activemq-5.2.0,RF,AvgEssential,AvgEssential,AvgEssential,25,0.30552350663013855
activemq-5.1.0,activemq-5.2.0,RF,CountDeclClassVariable,CountDeclClassVariable,CountDeclClassVariable,16,1.601133507151532
activemq-5.1.0,activemq-5.2.0,RF,CountDeclClassMethod,CountDeclClassMethod,CountDeclClassMethod,24,0.670577493585866
activemq-5.1.0,activemq-5.2.0,RF,AvgLineComment,CountLineComment,"CountLineComment
AvgLineComment",13,1.8877468556262804
activemq-5.1.0,activemq-5.2.0,RF,AvgLineComment,AvgLineComment,"CountLineComment
AvgLineComment",13,1.8877468556262804
activemq-5.1.0,activemq-5.2.0,RF,AvgCyclomaticModified,MaxNesting_Mean,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.3253755210663585
activemq-5.1.0,activemq-5.2.0,RF,AvgCyclomaticModified,CountPath_Mean,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.3253755210663585
activemq-5.1.0,activemq-5.2.0,RF,AvgCyclomaticModified,CountPath_Max,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.3253755210663585
activemq-5.1.0,activemq-5.2.0,RF,AvgCyclomaticModified,MaxCyclomaticModified,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.3253755210663585
activemq-5.1.0,activemq-5.2.0,RF,AvgCyclomaticModified,MaxCyclomatic,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.3253755210663585
activemq-5.1.0,activemq-5.2.0,RF,AvgCyclomaticModified,MaxCyclomaticStrict,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.3253755210663585
activemq-5.1.0,activemq-5.2.0,RF,AvgCyclomaticModified,MaxNesting_Max,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.3253755210663585
activemq-5.1.0,activemq-5.2.0,RF,AvgCyclomaticModified,AvgCyclomaticStrict,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.3253755210663585
activemq-5.1.0,activemq-5.2.0,RF,AvgCyclomaticModified,AvgCyclomaticModified,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.3253755210663585
activemq-5.1.0,activemq-5.2.0,RF,AvgCyclomaticModified,AvgCyclomatic,"MaxNesting_Mean
CountPath_Mean
CountPath_Max
MaxCyclomaticModified
MaxCyclomatic
MaxCyclomaticStrict
MaxNesting_Max
AvgCyclomaticStrict
AvgCyclomaticModified
AvgCyclomatic",18,1.3253755210663585
activemq-5.1.0,activemq-5.2.0,RF,CountDeclClass,CountDeclClass,CountDeclClass,22,0.8367797105133347
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodProtected,CountDeclMethodProtected,CountDeclMethodProtected,12,2.087888654373749
activemq-5.1.0,activemq-5.2.0,RF,CountDeclInstanceVariable,CountDeclInstanceVariable,CountDeclInstanceVariable,9,4.694282454922457
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,CountDeclInstanceMethod,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,SumEssential,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,CountDeclMethod,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,CountDeclFunction,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,CountSemicolon,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,CountStmt,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,CountLineCode,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,CountStmtDecl,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,CountLineCodeDecl,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,SumCyclomatic,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,SumCyclomaticModified,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,SumCyclomaticStrict,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,CountLineBlank,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,CountLine,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,CountDeclMethodPublic,CountDeclMethodPublic,"CountDeclInstanceMethod
SumEssential
CountDeclMethod
CountDeclFunction
CountSemicolon
CountStmt
CountLineCode
CountStmtDecl
CountLineCodeDecl
SumCyclomatic
SumCyclomaticModified
SumCyclomaticStrict
CountLineBlank
CountLine
CountDeclMethodPublic",5,6.454321618906894
activemq-5.1.0,activemq-5.2.0,RF,RatioCommentToCode,RatioCommentToCode,"RatioCommentToCode
CountStmtExe
CountLineCodeExe",2,12.008035212546602
activemq-5.1.0,activemq-5.2.0,RF,RatioCommentToCode,CountStmtExe,"RatioCommentToCode
CountStmtExe
CountLineCodeExe",2,12.008035212546602
activemq-5.1.0,activemq-5.2.0,RF,RatioCommentToCode,CountLineCodeExe,"RatioCommentToCode
CountStmtExe
CountLineCodeExe",2,12.008035212546602
activemq-5.1.0,activemq-5.2.0,RF,AvgLineBlank,AvgLineBlank,AvgLineBlank,19,1.303815550434134
activemq-5.1.0,activemq-5.2.0,RF,PercentLackOfCohesion,PercentLackOfCohesion,PercentLackOfCohesion,6,5.9807304287642795
activemq-5.1.0,activemq-5.2.0,RF,MaxInheritanceTree,MaxInheritanceTree,MaxInheritanceTree,11,2.315155654687363
activemq-5.1.0,activemq-5.2.0,RF,CountClassDerived,CountClassDerived,CountClassDerived,20,0.9149618472866151
activemq-5.1.0,activemq-5.2.0,RF,CountClassCoupled,CountClassCoupled,CountClassCoupled,8,5.041580309911051
activemq-5.1.0,activemq-5.2.0,RF,CountClassBase,CountClassBase,CountClassBase,15,1.7219904597190399
activemq-5.1.0,activemq-5.2.0,RF,CountInput_Mean,CountInput_Mean,"CountInput_Mean
CountInput_Max",7,5.429673073290874
activemq-5.1.0,activemq-5.2.0,RF,CountInput_Mean,CountInput_Max,"CountInput_Mean
CountInput_Max",7,5.429673073290874
activemq-5.1.0,activemq-5.2.0,RF,CountInput_Min,CountInput_Min,CountInput_Min,14,1.7708219543804793
activemq-5.1.0,activemq-5.2.0,RF,CountOutput_Mean,CountOutput_Mean,"CountOutput_Mean
AvgLineCode
CountOutput_Max
AvgLine",3,7.666538515791619
