i,j,k,filename,idx,y_pred,y_test,left,condition,right,score,X_test,X_validate,y_validate
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/TransportConnection.java,262,1.0,True,OWN_COMMIT,>,0.50,0.3906750573561585,0.529411764705882,0.5,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/TransportConnection.java,262,1.0,True,RatioCommentToCode,<=,0.28,0.06573600064082288,0.15,0.15,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/TransportConnection.java,262,1.0,True,OWN_LINE,>,0.50,0.06472983719947954,0.709077380952381,0.69479090242113,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/TransportConnection.java,262,1.0,True,MaxInheritanceTree,>,0.50,0.029847814394986544,1.0,1,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/TransportConnection.java,262,1.0,True,CountInput_Min,<=,0.50,0.026524212251339826,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/ActiveMQConnection.java,42,0.96,True,OWN_COMMIT,<=,0.50,0.15985665172727803,0.45454545454545503,0.5,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/ActiveMQConnection.java,42,0.96,True,OWN_LINE,>,0.50,0.0669320246862976,0.5672985781990519,0.533424283765348,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/ActiveMQConnection.java,42,0.96,True,MaxInheritanceTree,>,0.50,0.036464951974889796,1.0,1,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/ActiveMQConnection.java,42,0.96,True,CountOutput_Min,<=,0.50,0.03183824846190129,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/ActiveMQConnection.java,42,0.96,True,RatioCommentToCode,>,0.58,-0.03002728165831545,0.77,0.76,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/Topic.java,246,0.95,True,OWN_COMMIT,>,0.50,0.3872081026746036,0.7777777777777779,0.5,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/Topic.java,246,0.95,True,RatioCommentToCode,<=,0.28,0.059531308611773325,0.18,0.16,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/Topic.java,246,0.95,True,OWN_LINE,<=,0.50,-0.05501291225453482,0.464788732394366,0.419354838709677,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/Topic.java,246,0.95,True,CountInput_Min,<=,0.50,0.031706362916793566,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/Topic.java,246,0.95,True,CountClassDerived,>,0.50,-0.022398147070561363,1.0,1,True
